LDI,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,0.039,0.049,0.059,0.069,0.070,0.073,0.073,0.073,0.073,0.073,0.070,0.072,0.112,0.138,0.082,0.110,0.107,0.107,0.103,0.097,0.099,0.098,0.102,0.119
Ethiopia,0.012,0.012,0.013,0.013,0.014,0.015,0.015,0.020,0.013,0.024,0.027,0.033,0.035,0.035,0.014,0.015,0.015,0.031,0.103,0.115,0.118,0.111,0.105,0.161
Gabon,0.010,0.010,0.010,0.022,0.022,0.022,0.022,0.022,0.022,0.063,0.064,0.110,0.096,0.105,0.104,0.106,0.106,0.154,0.204,0.205,0.209,0.214,0.231,0.208
Gambia,0.075,0.085,0.095,0.105,0.114,0.114,0.114,0.114,0.114,0.143,0.144,0.167,0.234,0.336,0.333,0.326,0.326,0.333,0.078,0.127,0.121,0.118,0.109,0.400
Ghana,0.074,0.084,0.094,0.104,0.104,0.105,0.105,0.105,0.106,0.117,0.219,0.274,0.211,0.300,0.090,0.411,0.080,0.096,0.409,0.557,0.636,0.678,0.628,0.614
Guinea,0.010,0.010,0.010,0.027,0.028,0.029,0.029,0.030,0.031,0.049,0.045,0.046,0.038,0.036,0.036,0.037,0.040,0.046,0.101,0.103,0.109,0.089,0.171,0.125
Guinea-Bissau,0.010,0.010,0.010,0.014,0.014,0.014,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.057,0.058,0.047,0.051,0.221,0.245,0.288,0.289,0.315,0.346
Kenya,0.010,0.010,0.010,0.022,0.044,0.048,0.049,0.052,0.051,0.052,0.051,0.071,0.159,0.116,0.119,0.113,0.101,0.126,0.208,0.249,0.335,0.346,0.401,0.374
Lesotho,0.049,0.059,0.069,0.079,0.080,0.080,0.080,0.080,0.080,0.089,0.091,0.099,0.148,0.115,0.119,0.121,0.124,0.163,0.258,0.262,0.458,0.435,0.451,0.497
Liberia,0.156,0.158,0.161,0.151,0.159,0.157,0.155,0.159,0.159,0.125,0.105,0.106,0.106,0.106,0.136,0.061,0.088,0.062,0.147,0.163,0.268,0.494,0.458,0.466
Lybia,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.075,0.120,0.127,0.134,0.029,0.027,0.049,0.049,0.052,0.049,0.049,0.045,0.046,0.176,0.154
Madagascar,0.019,0.019,0.016,0.056,0.057,0.052,0.052,0.052,0.053,0.072,0.073,0.097,0.135,0.134,0.087,0.093,0.096,0.113,0.352,0.289,0.265,0.084,0.252,0.249
Malawi,0.010,0.010,0.010,0.028,0.040,0.040,0.040,0.040,0.040,0.040,0.041,0.043,0.101,0.089,0.088,0.080,0.080,0.080,0.433,0.379,0.370,0.413,0.447,0.466
Mali,0.010,0.012,0.022,0.032,0.032,0.032,0.032,0.032,0.032,0.074,0.075,0.180,0.184,0.096,0.097,0.126,0.126,0.138,0.439,0.384,0.432,0.422,0.372,0.278
Mauritania,0.039,0.049,0.059,0.069,0.069,0.069,0.069,0.069,0.069,0.090,0.091,0.149,0.120,0.119,0.117,0.044,0.045,0.047,0.123,0.134,0.114,0.225,0.164,0.179
Mauritius,0.097,0.107,0.117,0.127,0.127,0.130,0.130,0.130,0.132,0.304,0.306,0.334,0.404,0.578,0.572,0.615,0.632,0.627,0.645,0.657,0.663,0.678,0.669,0.469
Morocco,0.016,0.016,0.016,0.024,0.043,0.046,0.046,0.046,0.046,0.047,0.046,0.074,0.139,0.112,0.090,0.152,0.152,0.173,0.190,0.217,0.233,0.236,0.235,0.240
Mozambique,0.010,0.010,0.010,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.021,0.022,0.049,0.048,0.048,0.109,0.323,0.308,0.331,0.312,0.316,0.237
Namibia,0.010,0.015,0.025,0.035,0.037,0.042,0.059,0.059,0.058,0.057,0.057,0.057,0.057,0.057,0.058,0.074,0.073,0.410,0.563,0.548,0.563,0.540,0.598,0.527
Niger,0.034,0.044,0.054,0.064,0.064,0.064,0.064,0.065,0.065,0.070,0.072,0.119,0.132,0.129,0.084,0.085,0.085,0.219,0.411,0.411,0.434,0.183,0.497,0.401
Nigeria,0.037,0.047,0.057,0.067,0.067,0.107,0.107,0.107,0.108,0.112,0.132,0.199,0.190,0.090,0.099,0.269,0.100,0.105,0.098,0.338,0.306,0.331,0.424,0.371
Rwanda,0.010,0.010,0.010,0.025,0.025,0.025,0.025,0.026,0.026,0.026,0.029,0.072,0.154,0.171,0.102,0.123,0.151,0.157,0.120,0.111,0.132,0.138,0.144,0.132
S�o Tom� and Principe ,,,,,,,,,,0.082,0.083,0.083,0.086,0.086,0.143,0.161,0.161,0.200,0.514,0.507,0.555,0.558,0.585,0.581
Senegal,0.023,0.033,0.043,0.053,0.053,0.053,0.053,0.053,0.053,0.115,0.115,0.283,0.262,0.291,0.283,0.316,0.376,0.391,0.479,0.512,0.532,0.532,0.581,0.572
Seychelles,,,,,,,,,,0.149,0.149,0.148,0.159,0.222,0.195,0.167,0.175,0.179,0.253,0.260,0.343,0.362,0.402,0.491
Sierra Leone,0.024,0.034,0.044,0.054,0.053,0.065,0.066,0.066,0.066,0.066,0.090,0.122,0.185,0.077,0.100,0.086,0.085,0.086,0.037,0.092,0.359,0.328,0.315,0.414
South Africa,0.081,0.091,0.101,0.111,0.129,0.129,0.129,0.133,0.133,0.102,0.101,0.099,0.093,0.093,0.093,0.093,0.118,0.140,0.530,0.642,0.665,0.665,0.640,0.578
Sudan,0.013,0.023,0.033,0.043,0.043,0.044,0.045,0.045,0.045,0.062,0.108,0.051,0.096,0.051,0.080,0.080,0.105,0.012,0.018,0.018,0.073,0.079,0.080,0.086
Tanzania,0.042,0.052,0.062,0.072,0.074,0.076,0.091,0.091,0.092,0.092,0.095,0.122,0.262,0.240,0.241,0.240,0.246,0.267,0.373,0.398,0.374,0.392,0.387,0.307
Togo,0.010,0.010,0.010,0.018,0.018,0.018,0.018,0.018,0.018,0.044,0.046,0.121,0.104,0.043,0.045,0.059,0.063,0.065,0.162,0.170,0.154,0.241,0.263,0.212
Tunisia,0.028,0.025,0.032,0.037,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.153,0.155,0.156,0.155,0.162,0.164,0.095,0.092,0.093,0.093,0.105,0.630,0.644
Uganda,0.032,0.042,0.052,0.062,0.063,0.105,0.105,0.104,0.104,0.105,0.115,0.142,0.239,0.100,0.019,0.040,0.074,0.189,0.234,0.247,0.240,0.268,0.253,0.236
Zambia,0.036,0.046,0.056,0.066,0.066,0.068,0.103,0.103,0.103,0.107,0.112,0.114,0.208,0.199,0.144,0.144,0.144,0.155,0.388,0.389,0.435,0.430,0.365,0.269
Zimbabwe,0.109,0.119,0.129,0.139,0.139,0.184,0.184,0.184,0.184,0.185,0.189,0.176,0.133,0.128,0.128,0.209,0.229,0.218,0.229,0.194,0.152,0.198,0.211,0.194
Asia,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,0.076,0.073,0.073,0.101,0.104,0.057,0.045,0.050,0.049,0.024,0.028,0.133,0.227,0.231,0.191
Armenia,,,,,,,,,,,,,,,,0.028,0.030,0.338,0.287,0.218,0.191,0.194,0.211,0.604
Azerbaijan,,,,,,,,,,,,,,,,0.028,0.030,0.082,0.087,0.083,0.072,0.071,0.064,0.067
Bahrain,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.038,0.018,0.018,0.018,0.018,0.024,0.082,0.084,0.045,0.048
Bangladesh,,,,,,,,,,0.167,0.155,0.083,0.128,0.090,0.143,0.198,0.117,0.168,0.279,0.288,0.240,0.185,0.125,0.108
Brunei Darussalam,,,,,,,,,,0.141,0.195,0.218,0.211,0.132,0.194,0.197,0.172,0.159,0.158,0.163,0.207,0.216,0.202,0.303
Cambodia,0.020,0.020,0.028,0.041,0.041,0.041,0.041,0.041,0.041,0.043,0.098,0.155,0.154,0.083,0.010,0.022,0.020,0.026,0.138,0.126,0.121,0.117,0.113,0.066
China,0.012,0.012,0.012,0.015,0.069,0.050,0.049,0.050,0.050,0.025,0.031,0.027,0.027,0.025,0.025,0.052,0.053,0.049,0.053,0.054,0.056,0.055,0.052,0.042
Hong Kong SAR,0.129,0.129,0.129,0.161,0.161,0.163,0.163,0.165,0.165,0.172,0.172,0.179,0.177,0.185,0.192,0.200,0.206,0.239,0.304,0.315,0.314,0.315,0.292,0.247
Georgia,,,,,,,,,,,,,,,,0.028,0.030,0.131,0.171,0.209,0.386,0.351,0.531,0.505
India,0.080,0.082,0.085,0.093,0.096,0.109,0.107,0.107,0.156,0.259,0.520,0.530,0.497,0.501,0.294,0.526,0.535,0.560,0.597,0.595,0.582,0.574,0.451,0.322
Indonesia,0.020,0.020,0.021,0.021,0.022,0.022,0.022,0.022,0.029,0.180,0.203,0.110,0.086,0.059,0.066,0.056,0.055,0.055,0.050,0.518,0.545,0.537,0.517,0.446
Iran,0.010,0.010,0.010,0.010,0.025,0.048,0.035,0.036,0.038,0.115,0.069,0.065,0.080,0.083,0.081,0.089,0.092,0.114,0.124,0.167,0.145,0.129,0.153,0.142
